experiment_run,text_id,simplified,raw_model_output,target_cefr,predicted_cefr,predicted_cefr_confidence,cefr_adj_accuracy,meaningbert_orig,bertscore_f1_orig,meaningbert_ref,bertscore_f1_ref,cefr_probas_ModernBERT-base-doc_en-Cefr_A1,cefr_probas_ModernBERT-base-doc_en-Cefr_A2,cefr_probas_ModernBERT-base-doc_en-Cefr_B1,cefr_probas_ModernBERT-base-doc_en-Cefr_B2,cefr_probas_ModernBERT-base-doc_en-Cefr_C1,cefr_probas_ModernBERT-base-doc_en-Cefr_C2,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_A1,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_A2,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_B1,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_B2,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_C1,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_C2,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_A1,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_A2,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_B1,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_B2,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_C1,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_C2,few_shot_example_ids
claude4_1_shot_confidence_20250814-225242,06-a2,"One night in 2003, Suzanne Collins was watching TV. She kept changing the TV channels to find something good to watch. At that time, the US was fighting a war in Iraq. On TV, she could only find two types of programs. The first type was 'reality' programs. In these programs, young people play games and try to win one million dollars. The second type was news programs about the war. Suzanne watched both types of programs. She began to think the two things were similar in a scary way. This gave her the idea to write The Hunger Games.","One night in 2003, Suzanne Collins was watching TV. She kept changing the TV channels to find something good to watch. At that time, the US was fighting a war in Iraq. On TV, she could only find two types of programs. The first type was 'reality' programs. In these programs, young people play games and try to win one million dollars. The second type was news programs about the war. Suzanne watched both types of programs. She began to think the two things were similar in a scary way. This gave her the idea to write The Hunger Games.",A2,A2,1.0,1,0.8001,0.928,0.7408,0.9144,0.000397,0.999235,0.000365,0.0,2e-06,0.0,1e-06,0.99999,9e-06,0.0,0.0,0.0,0.002073,0.99682,0.001107,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,06-b1,"One night in 2003, Suzanne Collins was changing TV channels. At that time, the US was fighting a war in Iraq. The only TV shows she could find were 'reality' shows where young people tried to win a million dollars and news shows about the war. Suzanne says that these two things began to mix together in a scary way and this gave her the idea for The Hunger Games.","One night in 2003, Suzanne Collins was changing TV channels. At that time, the US was fighting a war in Iraq. The only TV shows she could find were 'reality' shows where young people tried to win a million dollars and news shows about the war. Suzanne says that these two things began to mix together in a scary way and this gave her the idea for The Hunger Games.",B1,A2,0.999,1,0.8496,0.9651,0.8359,0.9372,0.000703,0.997542,0.001746,2e-06,7e-06,0.0,0.0,0.995829,0.004171,0.0,0.0,0.0,6.1e-05,0.999025,0.000914,0.0,0.0,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,07-a2,"The Life of Pi is a story about a boy called Pi. Pi is a teenager from India. His ship crashes and he is alone on a small boat in the Pacific Ocean. There is also a big, dangerous tiger on the boat with him. A man from Canada called Yann Martel wrote this book. It was his third book. The book came out in 2001. Many people liked it - more than seven million people bought it around the world. The book won prizes and people changed it into 41 different languages. Yann Martel's father worked for the government in different countries. When Yann was a child, he lived in Costa Rica, Canada, France and Mexico.","The Life of Pi is a story about a boy called Pi. Pi is a teenager from India. His ship crashes and he is alone on a small boat in the Pacific Ocean. There is also a big, dangerous tiger on the boat with him. A man from Canada called Yann Martel wrote this book. It was his third book. The book came out in 2001. Many people liked it - more than seven million people bought it around the world. The book won prizes and people changed it into 41 different languages. Yann Martel's father worked for the government in different countries. When Yann was a child, he lived in Costa Rica, Canada, France and Mexico.",A2,A2,0.9995,1,0.6893,0.924,0.6478,0.929,0.00035,0.999539,0.000111,0.0,0.0,0.0,0.000899,0.999101,0.0,0.0,0.0,0.0,0.008348,0.991554,9.8e-05,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,07-b1,"The Life of Pi tells the amazing story of Pi, a teenage boy from India, who is in a ship accident and becomes stuck in a small boat in the Pacific Ocean with a dangerous tiger. It is the third book by the Canadian writer Yann Martel, and came out in 2001. Since then, it has sold more than seven million copies around the world, won several prizes and been translated into 41 languages. Martel's father was a diplomat and when he was a child, he lived in Costa Rica, Canada, France and Mexico.","The Life of Pi tells the amazing story of Pi, a teenage boy from India, who is in a ship accident and becomes stuck in a small boat in the Pacific Ocean with a dangerous tiger. It is the third book by the Canadian writer Yann Martel, and came out in 2001. Since then, it has sold more than seven million copies around the world, won several prizes and been translated into 41 languages. Martel's father was a diplomat and when he was a child, he lived in Costa Rica, Canada, France and Mexico.",B1,A2,0.8697,1,0.8174,0.9751,0.7049,0.9542,0.000205,0.869658,0.13003,7e-06,9.9e-05,1e-06,0.0,0.487925,0.512075,0.0,0.0,0.0,0.000199,0.327877,0.671924,0.0,0.0,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,08-a2,"Sometimes people dream about getting a phone call from an old friend. Sometimes they dream that someone they know will die. When these things really happen later, people think their dream told them about the future. But this is not true. It happens because of luck, not because the dream was special. Also, we forget about our dreams when they don't come true. We only remember the dreams that match what really happens.","Sometimes people dream about getting a phone call from an old friend. Sometimes they dream that someone they know will die. When these things really happen later, people think their dream told them about the future. But this is not true. It happens because of luck, not because the dream was special. Also, we forget about our dreams when they don't come true. We only remember the dreams that match what really happens.",A2,A2,0.9997,1,0.5685,0.8879,0.8449,0.9011,7.1e-05,0.999673,0.000249,0.0,6e-06,0.0,0.0,0.232989,0.767011,0.0,0.0,0.0,0.002444,0.997506,4.9e-05,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,08-b1,"Dreams about getting a phone call from an old friend or about someone close to you dying, for example, are more likely to happen by chance than because the dream can tell the future. And, of course, we probably choose to forget all the times we dream about these things but they don't actually happen.","Dreams about getting a phone call from an old friend or about someone close to you dying, for example, are more likely to happen by chance than because the dream can tell the future. And, of course, we probably choose to forget all the times we dream about these things but they don't actually happen.",B1,B1,1.0,1,0.8655,0.9562,0.9453,0.9495,8.6e-05,0.999651,0.00021,4e-06,4.5e-05,4e-06,0.0,0.0,0.999954,4.6e-05,0.0,0.0,8e-06,0.985488,0.014503,0.0,0.0,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,09-a2,"Sometimes bridges fall down and people don't know why. Engineers need to study the bridge carefully to find out what happened. There are different reasons why bridges can fall down. Sometimes the materials used to build the bridge were not good quality. Sometimes an important part of the bridge was broken or had a problem. Other times, the bridge was made to carry only a certain weight. If something too heavy goes on the bridge, it can break.","Sometimes bridges fall down and people don't know why. Engineers need to study the bridge carefully to find out what happened. There are different reasons why bridges can fall down. Sometimes the materials used to build the bridge were not good quality. Sometimes an important part of the bridge was broken or had a problem. Other times, the bridge was made to carry only a certain weight. If something too heavy goes on the bridge, it can break.",A2,A2,0.9136,1,0.5854,0.9084,0.8429,0.9198,0.000412,0.889294,0.109149,0.000368,0.000774,4e-06,0.0,0.891323,0.108677,0.0,0.0,0.0,0.001062,0.913592,0.085339,3e-06,3e-06,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,09-b1,"Some bridge collapses are puzzles, and engineers only understand why after they do a complete study. In some cases, this could happen because poor-quality materials were used when building the bridge, or because there was a problem with an important part of the bridge. In other cases, the bridge was built to carry only a certain amount of weight and nothing heavier.","Some bridge collapses are puzzles, and engineers only understand why after they do a complete study. In some cases, this could happen because poor-quality materials were used when building the bridge, or because there was a problem with an important part of the bridge. In other cases, the bridge was built to carry only a certain amount of weight and nothing heavier.",B1,B1,1.0,1,0.8461,0.972,0.6275,0.9528,0.000111,0.133529,0.862597,0.001091,0.00266,1.1e-05,0.0,0.0,0.999996,4e-06,0.0,0.0,2.4e-05,0.174306,0.825625,4e-05,4e-06,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,10-a2,"Before, I worked five days every week. Then I had a baby and stopped working for some time. When I went back to work, I wanted to spend more time with my children before they go to school. I talked to my boss about this. We decided I would work only three days each week. This means I get less money now because I work fewer days. But I found a problem: I still have the same amount of work to do! Now I do five days of work in only three days, but I get much less money for it!","Before, I worked five days every week. Then I had a baby and stopped working for some time. When I went back to work, I wanted to spend more time with my children before they go to school. I talked to my boss about this. We decided I would work only three days each week. This means I get less money now because I work fewer days. But I found a problem: I still have the same amount of work to do! Now I do five days of work in only three days, but I get much less money for it!",A2,A2,1.0,1,0.6827,0.913,0.8171,0.9298,0.000135,0.999569,0.000294,0.0,1e-06,0.0,1e-06,0.999989,1.1e-05,0.0,0.0,0.0,7.7e-05,0.999724,0.000199,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,10-b1,"I used to work five days a week, but after I finished my parental leave, I decided that I wanted to spend more time with my children before they go to school. After talking with my boss, we agreed to reduce my working week to three days. This meant I also got much less money, because I am paid for the days I work. But I have noticed that I still have the same amount of work to do! I am now doing five days of work in three days, but I get paid much less for it!","I used to work five days a week, but after I finished my parental leave, I decided that I wanted to spend more time with my children before they go to school. After talking with my boss, we agreed to reduce my working week to three days. This meant I also got much less money, because I am paid for the days I work. But I have noticed that I still have the same amount of work to do! I am now doing five days of work in three days, but I get paid much less for it!",B1,B1,0.9998,1,0.8541,0.9477,0.857,0.9511,0.000115,0.997481,0.002395,2e-06,7e-06,0.0,0.0,0.0,0.999784,0.000216,0.0,0.0,0.000131,0.346347,0.653497,2.4e-05,1e-06,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,11-a2,"Today, many companies work with people from other countries. Most business people speak English, but different countries have different ways of doing business. If you don't understand how people from other countries do business, you might have problems. You might not understand each other well, or you might think bad things about them. Here are three important differences in business manners around the world. These can help you when you work with people from different countries.","Today, many companies work with people from other countries. Most business people speak English, but different countries have different ways of doing business. If you don't understand how people from other countries do business, you might have problems. You might not understand each other well, or you might think bad things about them. Here are three important differences in business manners around the world. These can help you when you work with people from different countries.",A2,A2,1.0,1,0.6012,0.9002,0.8034,0.9273,0.000127,0.999449,0.000417,4e-06,3e-06,1e-06,0.0,1.0,0.0,0.0,0.0,0.0,0.000101,0.999883,1.5e-05,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,11-b1,"Today, a lot of business happens between different countries. Most business people around the world use English to communicate with each other. However, the way people communicate in business can be very different from one culture to another. If we don't understand how people from other cultures do business, we might make wrong judgements about them. This can cause misunderstandings and problems in communication. Here are three main areas where business behaviour is different around the world. Understanding these differences can help you when you work with someone from a different culture.","Today, a lot of business happens between different countries. Most business people around the world use English to communicate with each other. However, the way people communicate in business can be very different from one culture to another. If we don't understand how people from other cultures do business, we might make wrong judgements about them. This can cause misunderstandings and problems in communication. Here are three main areas where business behaviour is different around the world. Understanding these differences can help you when you work with someone from a different culture.",B1,A2,0.999,1,0.6995,0.9179,0.6815,0.9219,0.001554,0.970957,0.027431,1.9e-05,3.3e-05,6e-06,0.0,0.987905,0.012095,0.0,0.0,0.0,0.00019,0.999044,0.000766,0.0,0.0,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,12-a2,"A long time ago, between 100,000 and 50,000 years ago, early humans started to make art. For example, they painted pictures on cave walls. This shows they were becoming smarter. But we don't know if this connects to language. People's brains didn't suddenly become bigger during this time. But humans did become more intelligent and could do more difficult things. We have two questions: Did using language make their brains better? Or did better brains help them start making language? Nobody knows the answer.","A long time ago, between 100,000 and 50,000 years ago, early humans started to make art. For example, they painted pictures on cave walls. This shows they were becoming smarter. But we don't know if this connects to language. People's brains didn't suddenly become bigger during this time. But humans did become more intelligent and could do more difficult things. We have two questions: Did using language make their brains better? Or did better brains help them start making language? Nobody knows the answer.",A2,A2,0.9999,1,0.7329,0.9224,0.6782,0.9137,1.2e-05,0.999925,6.2e-05,0.0,2e-06,0.0,6e-06,0.243263,0.75673,0.0,0.0,0.0,0.000899,0.999075,2.6e-05,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,12-b1,"Between 100,000 and 50,000 years ago, we can see the first signs that early humans were becoming more civilized. For example, they made paintings on cave walls. But no one knows if this is connected to language. Human brains did not suddenly become bigger, but humans did become more complicated and smarter. Did using language help their brains to grow? Or did their more developed brains begin to create language?","Between 100,000 and 50,000 years ago, we can see the first signs that early humans were becoming more civilized. For example, they made paintings on cave walls. But no one knows if this is connected to language. Human brains did not suddenly become bigger, but humans did become more complicated and smarter. Did using language help their brains to grow? Or did their more developed brains begin to create language?",B1,B1,0.9998,1,0.8549,0.954,0.8753,0.9554,8e-06,0.999784,0.000192,1e-06,1.4e-05,0.0,0.0,1e-05,0.999787,0.000203,0.0,0.0,0.000333,0.997292,0.002375,0.0,0.0,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,13-a2,"Big supermarkets have done some bad things in the last ten years. People are angry with them. The supermarkets have thrown away lots of food. They have not paid farmers enough money. They have used too much plastic for their food packages. All this plastic is bad for our world.

But now the supermarkets are listening to people. Many customers don't like all the plastic waste. They complain about it. So some of the biggest supermarkets in the UK have made a promise. They want to change their packages. They want to use less plastic. This will help our environment.","Big supermarkets have done some bad things in the last ten years. People are angry with them. The supermarkets have thrown away lots of food. They have not paid farmers enough money. They have used too much plastic for their food packages. All this plastic is bad for our world.

But now the supermarkets are listening to people. Many customers don't like all the plastic waste. They complain about it. So some of the biggest supermarkets in the UK have made a promise. They want to change their packages. They want to use less plastic. This will help our environment.",A2,A2,1.0,1,0.6636,0.9031,0.802,0.9135,0.00379,0.866902,0.12863,0.000304,0.000361,1.4e-05,1e-05,0.999985,4e-06,0.0,0.0,0.0,0.003058,0.98428,0.012661,0.0,1e-06,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,13-b1,"Many of the biggest supermarket companies have been criticized for doing wrong things over the past ten years. They have thrown away tons of food, they have not paid their suppliers enough money, and they have used too much plastic in their packaging, which has hurt our environment. But supermarkets and food stores are starting to pay attention and care about these problems. Because customers are getting angry about the large amounts of plastic waste from packaging, some of the biggest UK supermarkets have agreed to a promise to change their packaging and reduce plastic waste.","Many of the biggest supermarket companies have been criticized for doing wrong things over the past ten years. They have thrown away tons of food, they have not paid their suppliers enough money, and they have used too much plastic in their packaging, which has hurt our environment. But supermarkets and food stores are starting to pay attention and care about these problems. Because customers are getting angry about the large amounts of plastic waste from packaging, some of the biggest UK supermarkets have agreed to a promise to change their packaging and reduce plastic waste.",B1,B1,1.0,1,0.8562,0.944,0.8635,0.9371,0.000315,0.005866,0.987876,0.005281,0.000634,2.8e-05,0.0,0.0,1.0,0.0,0.0,0.0,2.3e-05,0.019205,0.98047,0.000267,3.4e-05,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,14-a2,"Wasfia Nazreen first saw a hula hoop when she was a young girl. A foreign child was visiting her country, Bangladesh, and was playing with one. Wasfia could only watch because in her country, people believed that girls should not play with hula hoops or ride bikes. Now Wasfia is one of the few people in the world to climb the Seven Summits. These are very high mountains like Everest and Kilimanjaro. She was the first person to play with a hula hoop on top of each mountain. She did this to help women and girls in her country. In Bangladesh, many people think women and girls should not do sports.","Wasfia Nazreen first saw a hula hoop when she was a young girl. A foreign child was visiting her country, Bangladesh, and was playing with one. Wasfia could only watch because in her country, people believed that girls should not play with hula hoops or ride bikes. Now Wasfia is one of the few people in the world to climb the Seven Summits. These are very high mountains like Everest and Kilimanjaro. She was the first person to play with a hula hoop on top of each mountain. She did this to help women and girls in her country. In Bangladesh, many people think women and girls should not do sports.",A2,A2,0.9997,1,0.7558,0.9539,0.5836,0.8997,0.000489,0.998308,0.001197,0.0,6e-06,0.0,0.000285,0.999707,8e-06,0.0,0.0,0.0,0.001468,0.998245,0.000287,0.0,0.0,0.0,['20-a2']
claude4_1_shot_confidence_20250814-225242,14-b1,"Wasfia Nazreen first saw a hula hoop when she was a young girl. She watched a foreign child who was visiting Bangladesh play with one. Wasfia could only watch and could not join in, because in her country people believed that girls should not play with hula hoops or ride bikes. Now Wasfia is one of the few people in the world to climb the Seven Summits. These include Everest and Kilimanjaro. She is also the first person to use a hula hoop on each mountain top. Her reason for doing this was to help women and girls feel stronger in a country that stops them from doing sports.","Wasfia Nazreen first saw a hula hoop when she was a young girl. She watched a foreign child who was visiting Bangladesh play with one. Wasfia could only watch and could not join in, because in her country people believed that girls should not play with hula hoops or ride bikes. Now Wasfia is one of the few people in the world to climb the Seven Summits. These include Everest and Kilimanjaro. She is also the first person to use a hula hoop on each mountain top. Her reason for doing this was to help women and girls feel stronger in a country that stops them from doing sports.",B1,A2,0.9984,1,0.7562,0.9644,0.678,0.9187,0.000287,0.998352,0.001354,1e-06,6e-06,0.0,6.3e-05,0.998377,0.00156,0.0,0.0,0.0,0.000289,0.997276,0.002435,0.0,0.0,0.0,['18-b1']
