experiment_run,text_id,simplified,raw_model_output,target_cefr,predicted_cefr,predicted_cefr_confidence,cefr_adj_accuracy,meaningbert_orig,bertscore_f1_orig,meaningbert_ref,bertscore_f1_ref,few_shot_example_ids
claude4_1_shot_confidence_20250814-225242,06-a2,"One night in 2003, Suzanne Collins was watching TV. She kept changing the TV channels to find something good to watch. At that time, the US was fighting a war in Iraq. On TV, she could only find two types of programs. The first type was 'reality' programs. In these programs, young people play games and try to win one million dollars. The second type was news programs about the war. Suzanne watched both types of programs. She began to think the two things were similar in a scary way. This gave her the idea to write The Hunger Games.","One night in 2003, Suzanne Collins was watching TV. She kept changing the TV channels to find something good to watch. At that time, the US was fighting a war in Iraq. On TV, she could only find two types of programs. The first type was 'reality' programs. In these programs, young people play games and try to win one million dollars. The second type was news programs about the war. Suzanne watched both types of programs. She began to think the two things were similar in a scary way. This gave her the idea to write The Hunger Games.",A2,A2,1.0,1,0.8001,0.928,0.7408,0.9144,['14-a2']
claude4_1_shot_confidence_20250814-225242,06-b1,"One night in 2003, Suzanne Collins was changing TV channels. At that time, the US was fighting a war in Iraq. The only TV shows she could find were 'reality' shows where young people tried to win a million dollars and news shows about the war. Suzanne says that these two things began to mix together in a scary way and this gave her the idea for The Hunger Games.","One night in 2003, Suzanne Collins was changing TV channels. At that time, the US was fighting a war in Iraq. The only TV shows she could find were 'reality' shows where young people tried to win a million dollars and news shows about the war. Suzanne says that these two things began to mix together in a scary way and this gave her the idea for The Hunger Games.",B1,A2,0.999,1,0.8496,0.9651,0.8359,0.9372,['18-b1']
claude4_1_shot_confidence_20250814-225242,07-a2,"The Life of Pi is a story about a boy called Pi. Pi is a teenager from India. His ship crashes and he is alone on a small boat in the Pacific Ocean. There is also a big, dangerous tiger on the boat with him. A man from Canada called Yann Martel wrote this book. It was his third book. The book came out in 2001. Many people liked it - more than seven million people bought it around the world. The book won prizes and people changed it into 41 different languages. Yann Martel's father worked for the government in different countries. When Yann was a child, he lived in Costa Rica, Canada, France and Mexico.","The Life of Pi is a story about a boy called Pi. Pi is a teenager from India. His ship crashes and he is alone on a small boat in the Pacific Ocean. There is also a big, dangerous tiger on the boat with him. A man from Canada called Yann Martel wrote this book. It was his third book. The book came out in 2001. Many people liked it - more than seven million people bought it around the world. The book won prizes and people changed it into 41 different languages. Yann Martel's father worked for the government in different countries. When Yann was a child, he lived in Costa Rica, Canada, France and Mexico.",A2,A2,0.9995,1,0.6893,0.924,0.6478,0.929,['14-a2']
claude4_1_shot_confidence_20250814-225242,07-b1,"The Life of Pi tells the amazing story of Pi, a teenage boy from India, who is in a ship accident and becomes stuck in a small boat in the Pacific Ocean with a dangerous tiger. It is the third book by the Canadian writer Yann Martel, and came out in 2001. Since then, it has sold more than seven million copies around the world, won several prizes and been translated into 41 languages. Martel's father was a diplomat and when he was a child, he lived in Costa Rica, Canada, France and Mexico.","The Life of Pi tells the amazing story of Pi, a teenage boy from India, who is in a ship accident and becomes stuck in a small boat in the Pacific Ocean with a dangerous tiger. It is the third book by the Canadian writer Yann Martel, and came out in 2001. Since then, it has sold more than seven million copies around the world, won several prizes and been translated into 41 languages. Martel's father was a diplomat and when he was a child, he lived in Costa Rica, Canada, France and Mexico.",B1,A2,0.8697,1,0.8174,0.9751,0.7049,0.9542,['18-b1']
claude4_1_shot_confidence_20250814-225242,08-a2,"Sometimes people dream about getting a phone call from an old friend. Sometimes they dream that someone they know will die. When these things really happen later, people think their dream told them about the future. But this is not true. It happens because of luck, not because the dream was special. Also, we forget about our dreams when they don't come true. We only remember the dreams that match what really happens.","Sometimes people dream about getting a phone call from an old friend. Sometimes they dream that someone they know will die. When these things really happen later, people think their dream told them about the future. But this is not true. It happens because of luck, not because the dream was special. Also, we forget about our dreams when they don't come true. We only remember the dreams that match what really happens.",A2,A2,0.9997,1,0.5685,0.8879,0.8449,0.9011,['14-a2']
claude4_1_shot_confidence_20250814-225242,08-b1,"Dreams about getting a phone call from an old friend or about someone close to you dying, for example, are more likely to happen by chance than because the dream can tell the future. And, of course, we probably choose to forget all the times we dream about these things but they don't actually happen.","Dreams about getting a phone call from an old friend or about someone close to you dying, for example, are more likely to happen by chance than because the dream can tell the future. And, of course, we probably choose to forget all the times we dream about these things but they don't actually happen.",B1,B1,1.0,1,0.8655,0.9562,0.9453,0.9495,['18-b1']
claude4_1_shot_confidence_20250814-225242,09-a2,"Sometimes bridges fall down and people don't know why. Engineers need to study the bridge carefully to find out what happened. There are different reasons why bridges can fall down. Sometimes the materials used to build the bridge were not good quality. Sometimes an important part of the bridge was broken or had a problem. Other times, the bridge was made to carry only a certain weight. If something too heavy goes on the bridge, it can break.","Sometimes bridges fall down and people don't know why. Engineers need to study the bridge carefully to find out what happened. There are different reasons why bridges can fall down. Sometimes the materials used to build the bridge were not good quality. Sometimes an important part of the bridge was broken or had a problem. Other times, the bridge was made to carry only a certain weight. If something too heavy goes on the bridge, it can break.",A2,A2,0.9136,1,0.5854,0.9084,0.8429,0.9198,['14-a2']
claude4_1_shot_confidence_20250814-225242,09-b1,"Some bridge collapses are puzzles, and engineers only understand why after they do a complete study. In some cases, this could happen because poor-quality materials were used when building the bridge, or because there was a problem with an important part of the bridge. In other cases, the bridge was built to carry only a certain amount of weight and nothing heavier.","Some bridge collapses are puzzles, and engineers only understand why after they do a complete study. In some cases, this could happen because poor-quality materials were used when building the bridge, or because there was a problem with an important part of the bridge. In other cases, the bridge was built to carry only a certain amount of weight and nothing heavier.",B1,B1,1.0,1,0.8461,0.972,0.6275,0.9528,['18-b1']
claude4_1_shot_confidence_20250814-225242,10-a2,"Before, I worked five days every week. Then I had a baby and stopped working for some time. When I went back to work, I wanted to spend more time with my children before they go to school. I talked to my boss about this. We decided I would work only three days each week. This means I get less money now because I work fewer days. But I found a problem: I still have the same amount of work to do! Now I do five days of work in only three days, but I get much less money for it!","Before, I worked five days every week. Then I had a baby and stopped working for some time. When I went back to work, I wanted to spend more time with my children before they go to school. I talked to my boss about this. We decided I would work only three days each week. This means I get less money now because I work fewer days. But I found a problem: I still have the same amount of work to do! Now I do five days of work in only three days, but I get much less money for it!",A2,A2,1.0,1,0.6827,0.913,0.8171,0.9298,['14-a2']
claude4_1_shot_confidence_20250814-225242,10-b1,"I used to work five days a week, but after I finished my parental leave, I decided that I wanted to spend more time with my children before they go to school. After talking with my boss, we agreed to reduce my working week to three days. This meant I also got much less money, because I am paid for the days I work. But I have noticed that I still have the same amount of work to do! I am now doing five days of work in three days, but I get paid much less for it!","I used to work five days a week, but after I finished my parental leave, I decided that I wanted to spend more time with my children before they go to school. After talking with my boss, we agreed to reduce my working week to three days. This meant I also got much less money, because I am paid for the days I work. But I have noticed that I still have the same amount of work to do! I am now doing five days of work in three days, but I get paid much less for it!",B1,B1,0.9998,1,0.8541,0.9477,0.857,0.9511,['18-b1']
claude4_1_shot_confidence_20250814-225242,11-a2,"Today, many companies work with people from other countries. Most business people speak English, but different countries have different ways of doing business. If you don't understand how people from other countries do business, you might have problems. You might not understand each other well, or you might think bad things about them. Here are three important differences in business manners around the world. These can help you when you work with people from different countries.","Today, many companies work with people from other countries. Most business people speak English, but different countries have different ways of doing business. If you don't understand how people from other countries do business, you might have problems. You might not understand each other well, or you might think bad things about them. Here are three important differences in business manners around the world. These can help you when you work with people from different countries.",A2,A2,1.0,1,0.6012,0.9002,0.8034,0.9273,['14-a2']
claude4_1_shot_confidence_20250814-225242,11-b1,"Today, a lot of business happens between different countries. Most business people around the world use English to communicate with each other. However, the way people communicate in business can be very different from one culture to another. If we don't understand how people from other cultures do business, we might make wrong judgements about them. This can cause misunderstandings and problems in communication. Here are three main areas where business behaviour is different around the world. Understanding these differences can help you when you work with someone from a different culture.","Today, a lot of business happens between different countries. Most business people around the world use English to communicate with each other. However, the way people communicate in business can be very different from one culture to another. If we don't understand how people from other cultures do business, we might make wrong judgements about them. This can cause misunderstandings and problems in communication. Here are three main areas where business behaviour is different around the world. Understanding these differences can help you when you work with someone from a different culture.",B1,A2,0.999,1,0.6995,0.9179,0.6815,0.9219,['18-b1']
claude4_1_shot_confidence_20250814-225242,12-a2,"A long time ago, between 100,000 and 50,000 years ago, early humans started to make art. For example, they painted pictures on cave walls. This shows they were becoming smarter. But we don't know if this connects to language. People's brains didn't suddenly become bigger during this time. But humans did become more intelligent and could do more difficult things. We have two questions: Did using language make their brains better? Or did better brains help them start making language? Nobody knows the answer.","A long time ago, between 100,000 and 50,000 years ago, early humans started to make art. For example, they painted pictures on cave walls. This shows they were becoming smarter. But we don't know if this connects to language. People's brains didn't suddenly become bigger during this time. But humans did become more intelligent and could do more difficult things. We have two questions: Did using language make their brains better? Or did better brains help them start making language? Nobody knows the answer.",A2,A2,0.9999,1,0.7329,0.9224,0.6782,0.9137,['14-a2']
claude4_1_shot_confidence_20250814-225242,12-b1,"Between 100,000 and 50,000 years ago, we can see the first signs that early humans were becoming more civilized. For example, they made paintings on cave walls. But no one knows if this is connected to language. Human brains did not suddenly become bigger, but humans did become more complicated and smarter. Did using language help their brains to grow? Or did their more developed brains begin to create language?","Between 100,000 and 50,000 years ago, we can see the first signs that early humans were becoming more civilized. For example, they made paintings on cave walls. But no one knows if this is connected to language. Human brains did not suddenly become bigger, but humans did become more complicated and smarter. Did using language help their brains to grow? Or did their more developed brains begin to create language?",B1,B1,0.9998,1,0.8549,0.954,0.8753,0.9554,['18-b1']
claude4_1_shot_confidence_20250814-225242,13-a2,"Big supermarkets have done some bad things in the last ten years. People are angry with them. The supermarkets have thrown away lots of food. They have not paid farmers enough money. They have used too much plastic for their food packages. All this plastic is bad for our world.

But now the supermarkets are listening to people. Many customers don't like all the plastic waste. They complain about it. So some of the biggest supermarkets in the UK have made a promise. They want to change their packages. They want to use less plastic. This will help our environment.","Big supermarkets have done some bad things in the last ten years. People are angry with them. The supermarkets have thrown away lots of food. They have not paid farmers enough money. They have used too much plastic for their food packages. All this plastic is bad for our world.

But now the supermarkets are listening to people. Many customers don't like all the plastic waste. They complain about it. So some of the biggest supermarkets in the UK have made a promise. They want to change their packages. They want to use less plastic. This will help our environment.",A2,A2,1.0,1,0.6636,0.9031,0.802,0.9135,['14-a2']
claude4_1_shot_confidence_20250814-225242,13-b1,"Many of the biggest supermarket companies have been criticized for doing wrong things over the past ten years. They have thrown away tons of food, they have not paid their suppliers enough money, and they have used too much plastic in their packaging, which has hurt our environment. But supermarkets and food stores are starting to pay attention and care about these problems. Because customers are getting angry about the large amounts of plastic waste from packaging, some of the biggest UK supermarkets have agreed to a promise to change their packaging and reduce plastic waste.","Many of the biggest supermarket companies have been criticized for doing wrong things over the past ten years. They have thrown away tons of food, they have not paid their suppliers enough money, and they have used too much plastic in their packaging, which has hurt our environment. But supermarkets and food stores are starting to pay attention and care about these problems. Because customers are getting angry about the large amounts of plastic waste from packaging, some of the biggest UK supermarkets have agreed to a promise to change their packaging and reduce plastic waste.",B1,B1,1.0,1,0.8562,0.944,0.8635,0.9371,['18-b1']
claude4_1_shot_confidence_20250814-225242,14-a2,"Wasfia Nazreen first saw a hula hoop when she was a young girl. A foreign child was visiting her country, Bangladesh, and was playing with one. Wasfia could only watch because in her country, people believed that girls should not play with hula hoops or ride bikes. Now Wasfia is one of the few people in the world to climb the Seven Summits. These are very high mountains like Everest and Kilimanjaro. She was the first person to play with a hula hoop on top of each mountain. She did this to help women and girls in her country. In Bangladesh, many people think women and girls should not do sports.","Wasfia Nazreen first saw a hula hoop when she was a young girl. A foreign child was visiting her country, Bangladesh, and was playing with one. Wasfia could only watch because in her country, people believed that girls should not play with hula hoops or ride bikes. Now Wasfia is one of the few people in the world to climb the Seven Summits. These are very high mountains like Everest and Kilimanjaro. She was the first person to play with a hula hoop on top of each mountain. She did this to help women and girls in her country. In Bangladesh, many people think women and girls should not do sports.",A2,A2,0.9997,1,0.7558,0.9539,0.5836,0.8997,['20-a2']
claude4_1_shot_confidence_20250814-225242,14-b1,"Wasfia Nazreen first saw a hula hoop when she was a young girl. She watched a foreign child who was visiting Bangladesh play with one. Wasfia could only watch and could not join in, because in her country people believed that girls should not play with hula hoops or ride bikes. Now Wasfia is one of the few people in the world to climb the Seven Summits. These include Everest and Kilimanjaro. She is also the first person to use a hula hoop on each mountain top. Her reason for doing this was to help women and girls feel stronger in a country that stops them from doing sports.","Wasfia Nazreen first saw a hula hoop when she was a young girl. She watched a foreign child who was visiting Bangladesh play with one. Wasfia could only watch and could not join in, because in her country people believed that girls should not play with hula hoops or ride bikes. Now Wasfia is one of the few people in the world to climb the Seven Summits. These include Everest and Kilimanjaro. She is also the first person to use a hula hoop on each mountain top. Her reason for doing this was to help women and girls feel stronger in a country that stops them from doing sports.",B1,A2,0.9984,1,0.7562,0.9644,0.678,0.9187,['18-b1']
claude4_1_shot_confidence_20250814-225242,15-a2,"We think Girox Foods should change how they work with their people. The company should be nicer to workers and think more about what workers need. Here are our ideas:

First, workers should have more choices about when they work. Some people work better in the morning, some work better at night. The company should let people choose their working hours.

Second, workers should be able to work from different places. Some people want to work from home. Some want to work in the office. The company should let people choose where they work.

Third, managers should give workers more interesting jobs to do. Workers like to learn new things and solve problems. When workers do good work, managers should say ""well done"" and ""thank you.""

Last, the company should help workers learn new skills. Workers should learn how to talk to different people and work with people from other countries. When workers learn new things, they are happier and do better work.","We think Girox Foods should change how they work with their people. The company should be nicer to workers and think more about what workers need. Here are our ideas:

First, workers should have more choices about when they work. Some people work better in the morning, some work better at night. The company should let people choose their working hours.

Second, workers should be able to work from different places. Some people want to work from home. Some want to work in the office. The company should let people choose where they work.

Third, managers should give workers more interesting jobs to do. Workers like to learn new things and solve problems. When workers do good work, managers should say ""well done"" and ""thank you.""

Last, the company should help workers learn new skills. Workers should learn how to talk to different people and work with people from other countries. When workers learn new things, they are happier and do better work.",A2,A2,0.9746,1,0.5445,0.8628,0.5632,0.8791,['14-a2']
claude4_1_shot_confidence_20250814-225242,15-b1,"Based on what we found, we suggest that Girox Foods should use a management style that focuses more on people. We should look for ways to give employees more flexible working hours and let them work from places they choose. Managers need to find different ways to give staff interesting challenges and give them more praise and recognition for their work. We should also spend more money on training staff, especially helping them learn better social and communication skills with people from different cultures. This could help create a good working environment where employees can do their best work.","Based on what we found, we suggest that Girox Foods should use a management style that focuses more on people. We should look for ways to give employees more flexible working hours and let them work from places they choose. Managers need to find different ways to give staff interesting challenges and give them more praise and recognition for their work. We should also spend more money on training staff, especially helping them learn better social and communication skills with people from different cultures. This could help create a good working environment where employees can do their best work.",B1,B1,1.0,1,0.8758,0.9364,0.8765,0.9289,['18-b1']
claude4_1_shot_confidence_20250814-225242,16-a2,"In the last 200 years, technology got better and people became healthier. This meant that fewer children died when they were young. Because more children lived, the number of people in the world grew very fast. These big families had many children. These children grew up and had their own children too. But in the 1960s, people could get contraception more easily. Contraception helps people choose when to have babies. Because of this, women around the world started having fewer babies. Before, women had about six babies each. Now, women have about two babies each.","In the last 200 years, technology got better and people became healthier. This meant that fewer children died when they were young. Because more children lived, the number of people in the world grew very fast. These big families had many children. These children grew up and had their own children too. But in the 1960s, people could get contraception more easily. Contraception helps people choose when to have babies. Because of this, women around the world started having fewer babies. Before, women had about six babies each. Now, women have about two babies each.",A2,A2,0.9997,1,0.6731,0.9127,0.7916,0.9239,['14-a2']
claude4_1_shot_confidence_20250814-225242,16-b1,"In the last 200 years, better technology and health care meant that fewer children died when they were young. This caused the population to grow quickly. These big families had even more children who lived to become adults and had their own children. But when birth control became easier to get in the 1960s, the average number of babies that women around the world have went down from six babies per woman to only two.","In the last 200 years, better technology and health care meant that fewer children died when they were young. This caused the population to grow quickly. These big families had even more children who lived to become adults and had their own children. But when birth control became easier to get in the 1960s, the average number of babies that women around the world have went down from six babies per woman to only two.",B1,B1,1.0,1,0.8426,0.9535,0.8747,0.9526,['18-b1']
claude4_1_shot_confidence_20250814-225242,17-a2,"It is good to know that people from different countries may act differently or want different things. This can help us talk better with them and not have problems. But we must be careful. We should not think that all people from one country are the same. This is not true and it can make business relationships bad.

People act in certain ways because of their country's culture. But there are other things that change how people think and act. For example, where they live in their country, what groups they belong to, how old they are, if they are men or women, what their company is like, and what has happened to them in their life.

So we should remember that people might be different because of their culture. But we should not think that everyone from the same country acts the same way. Each person is different.","It is good to know that people from different countries may act differently or want different things. This can help us talk better with them and not have problems. But we must be careful. We should not think that all people from one country are the same. This is not true and it can make business relationships bad.

People act in certain ways because of their country's culture. But there are other things that change how people think and act. For example, where they live in their country, what groups they belong to, how old they are, if they are men or women, what their company is like, and what has happened to them in their life.

So we should remember that people might be different because of their culture. But we should not think that everyone from the same country acts the same way. Each person is different.",A2,B1,0.999,1,0.4819,0.8711,0.6308,0.895,['14-a2']
claude4_1_shot_confidence_20250814-225242,17-b1,"Knowing that people from different cultures might have different expectations and ways of behaving can help us avoid misunderstandings. But it is very important to remember that cultural stereotypes can harm good business relationships. Although the culture of our country might influence how we behave and think, many other things also affect us. These include the area we come from, the groups we belong to, our age and gender, our company culture, and our personal experiences. So we should keep knowledge about cultural differences in the back of our minds, but we should not use it to put all people from one country into the same group.","Knowing that people from different cultures might have different expectations and ways of behaving can help us avoid misunderstandings. But it is very important to remember that cultural stereotypes can harm good business relationships. Although the culture of our country might influence how we behave and think, many other things also affect us. These include the area we come from, the groups we belong to, our age and gender, our company culture, and our personal experiences. So we should keep knowledge about cultural differences in the back of our minds, but we should not use it to put all people from one country into the same group.",B1,B1,0.9998,1,0.7159,0.9312,0.8186,0.9358,['18-b1']
claude4_1_shot_confidence_20250814-225242,18-a2,"Springsteen is a very popular music artist. He sells many albums. Many popular singers stop making good music when they get old. But Springsteen is different. He is now in his late 60s, but he still makes new music that many people buy. He still plays concerts in big stadiums with thousands of people. This does not surprise me. Springsteen writes songs about important things in people's lives. One of his famous albums is called ""Born in the USA."" The stories in his songs are still important today, just like they were years ago.","Springsteen is a very popular music artist. He sells many albums. Many popular singers stop making good music when they get old. But Springsteen is different. He is now in his late 60s, but he still makes new music that many people buy. He still plays concerts in big stadiums with thousands of people. This does not surprise me. Springsteen writes songs about important things in people's lives. One of his famous albums is called ""Born in the USA."" The stories in his songs are still important today, just like they were years ago.",A2,A2,0.9997,1,0.7169,0.894,0.6866,0.9132,['14-a2']
claude4_1_shot_confidence_20250814-225242,18-b1,"Unlike many other popular music artists who have sold millions of albums, Springsteen is still making new music that reaches the top of the music charts and fills big stadiums with fans, even though he is now in his late 60s. This doesn't surprise me at all. This is a man who tells us the most important stories about who we are as people, and when you listen to Born in the USA, those stories are just as important today as they were before.","Unlike many other popular music artists who have sold millions of albums, Springsteen is still making new music that reaches the top of the music charts and fills big stadiums with fans, even though he is now in his late 60s. This doesn't surprise me at all. This is a man who tells us the most important stories about who we are as people, and when you listen to Born in the USA, those stories are just as important today as they were before.",B1,B2,0.7951,1,0.9045,0.9524,0.8657,0.94,['13-b1']
claude4_1_shot_confidence_20250814-225242,19-a2,"Scientists want to know if our genes help us learn language. Genes are like instructions inside our bodies that make us who we are. Scientists think some genes changed a long time ago. This happened between 200,000 and 100,000 years ago. These changes may have helped humans learn to speak. The changed genes help our brains control our mouth and face when we talk. Monkeys have similar genes, but their genes did not change in the same way. Scientists are not sure yet how much genes help us with language. But maybe one day they will find the answer by looking at our DNA. DNA is like a book of instructions inside our bodies.","Scientists want to know if our genes help us learn language. Genes are like instructions inside our bodies that make us who we are. Scientists think some genes changed a long time ago. This happened between 200,000 and 100,000 years ago. These changes may have helped humans learn to speak. The changed genes help our brains control our mouth and face when we talk. Monkeys have similar genes, but their genes did not change in the same way. Scientists are not sure yet how much genes help us with language. But maybe one day they will find the answer by looking at our DNA. DNA is like a book of instructions inside our bodies.",A2,B1,0.9998,1,0.7038,0.9146,0.7114,0.9008,['14-a2']
claude4_1_shot_confidence_20250814-225242,19-b1,"Scientists want to know how genes affect our brain and language development. Are there genes that changed and gave humans the ability to speak? Researchers found a gene that changed between 200,000 and 100,000 years ago. This gene seems to be connected with speaking and how our brains control our mouth and face. Monkeys have a similar gene, but their gene did not change in the same way. It is too early to know how much genes affect language, but one day we might find the answers by studying our DNA.","Scientists want to know how genes affect our brain and language development. Are there genes that changed and gave humans the ability to speak? Researchers found a gene that changed between 200,000 and 100,000 years ago. This gene seems to be connected with speaking and how our brains control our mouth and face. Monkeys have a similar gene, but their gene did not change in the same way. It is too early to know how much genes affect language, but one day we might find the answers by studying our DNA.",B1,B1,1.0,1,0.7256,0.9588,0.7004,0.9307,['18-b1']
